"address";"lon";"lat"
"Dokkum , Harddraversdijk 2";6,0037048;53,3279352
"Breukelen , Sprt. Stinzenh.,Broekdijk Oost 28";4,9995319;52,1640211
"Borculo , 't Timpke , Haarloseweg 10";6,5244334;52,1105325
"Zevenaar , Lentemorgen 3";6,0734263;51,9342096
"Den Helder , Drs. F. Bijlweg 20";4,7531432;52,93741
"Test D L Rotterdam , van Zandvlietplein 20";4,5261667;51,8938056
"Hart voor Brabant , Mobiel inatieteam";5,0636894;51,5617757
"Oud,Beijerland De Boogerd , Hortensiastraat 5";4,4238449;51,820664
"Bosschenhoofd , BIA , Bredasebaan 1";4,5475781;51,5544617
"Hoogeveen , De Vos van Steenwijklaan 73";6,4949235;52,7270859
"Breda , Bavelseparklaan 10";4,8371401;51,5808101
"Zeewolde , Horsterweg 204";5,5239715;52,326687
"PRIO Test D Uden , Vluchtoord 4";5,6453698;51,6765498
"Tiel , Biezenwei 2";5,4614854;51,9068694
"Maastricht , MECC";5,7121196;50,8387222
"Amsterdam , Noord NDSM Loods , NDSM,Plein 85";4,8962009;52,4010836
"Amsterdam , AFAS Live , J. C. Boulevard 590";4,9445428;52,3119125
"Zutphen , Hanzehal , Fanny Blankers,Koenweg 2";6,2024;52,1495
"Leeuwarden ,  , Heliconweg 52";5,7733595;53,2007105
"Franeker , Jan Rodenhuisplein 3";5,5391125;53,1913132
"Naarden , IJsselmeerweg 100";5,1408964;52,3207598
"Koog ad Zaan , Topsportcentr , Wezelstraat 7";4,8015103;52,4672906
"Meppel , Eekhorstweg 16";6,1954303;52,7103395
"Almkerk , 't Verlaat 1";4,9582845;51,7692821
"Scheemda , Plantsoenlaan 19";6,9696222;53,1706554
"Nieuwerkerk ad IJssel , Steenbakkerij 2";4,5946676;51,9670907
"Rijswijk , Volmerlaan 12";4,3306018;52,0358601
"Barendrecht , De Bongerd , Dierensteinweg 9";4,5432916;51,8605417
"Hoogezand , Nieuweweg 8";6,7625233;53,1548423
"Spijkenisse , J. Witteveenlaan 1";4,3164071;51,8504694
"Roosendaal , Tussenriemer 25";4,4523768;51,5489161
"Nijmegen , Goffertstadion , Stadionplein 1";5,836308;51,8218471
"Wijk bij Duurstede , Sportcomplex MariÃ«nhoeve";5,3380928;51,9663264
"Hilversum , Verlengde Zuiderloswal 16";5,1489019;52,2213449
"Nieuwegein , Symfonielaan 5";5,0901508;52,0488142
"Texel , Den Burg Emmalaan 55";4,7969452;53,0492185
"Noordwijkerhout , NH Conf Cent , Langelaan 3";4,471998;52,252201
"Bergambacht , Zalencentrum , Meidoornstraat 7";4,7902591;51,9330492
"Dordrecht , Oranje Wit , Nwe Noordpolderweg 5";4,7003541;51,8095542
"Heerde , Zwolseweg 80A";6,0490762;52,3986217
"Veendam , De Zwaaikom 20";6,8946099;53,1041984
"Dronten , Educalaan 3";5,7125806;52,5270016
"Kerkrade , Rodahal";6,0622208;50,8675967
"Leiderdorp , Sporthal De Bloemerd 1A";4,5448399;52,1641868
"Nijverdal , vd Bergsweg 3";6,4918394;52,3588146
"Delft , Mozartlaan 664";4,3350792;51,9927125
"Haarlem , AWF van Idenburglaan 1";4,6246504;52,3978472
"Ridderkerk , Kastanjelaan 38";4,588668;51,8793593
"Urk , Vlechttuinen 8";5,6289048;52,6627999
"Apeldoorn , Gebouw 55 , Condorweg 1";5,975907;52,2066197
"Purmerend , Van IJsendijkstraat 365";4,9731695;52,5153314
"Voorburg , Appelgaarde 2";4,3692798;52,0892814
"Uitgeest , Sporthal de Zien , Zienlaan 4";4,701982;52,5241813
"Rotterdam , Crooswijksestraat 93";4,4910636;51,9333922
"Deventer , Essenstraat 35";6,197841;52,2481177
"Hengelo , Hazemeyerstraat 400";6,7837266;52,2627956
"Zeist , Badmeester Schenkpad 2";5,2395529;52,1049621
"Lansingerland , Boterdorpseweg 21";4,489502;51,982474
"Vianen , Sportcentrum Helsdingen";5,0821933;51,9865371
"Hellevoetsluis , Sportlaan 2";4,1387532;51,8361783
"Appelscha , Racket & Health , Nijesteegde 49A";6,34322;52,9555722
"Elst , Schubertstraat 1";5,8469091;51,924399
"Amstelveen , Bovenkerkerweg 6,8";4,8428606;52,285043
"Emmeloord , Urkerweg 1";5,7430012;52,707254
"De Bilt , Henri Dunantplein 4";5,173753;52,1108177
"Albrandswaard,Poortugaal,Hofhoek 5 Poortugaal";4,3942255;51,8611634
"Tiel , Biezenwei 2";5,4614854;51,9068694
"Bunnik , Rijneiland 7 , Odijk";5,23516;52,047483
"Mobiele unit Maasbree";6,0552886;51,361972
"Mobiele unit Venray";5,9594258;51,5274964
"Wijhe , Raadhuisplein 1";6,1295346;52,385212
"Regio Haaglanden";4,3221419;52,0376447
"Egchel ,  ";5,9713597;51,3134105
"Zuidhorn , De Gast 39";6,4038081;53,2501391
"Maassluis , Uiverlaan 0";4,2381423;51,9288619
"Vlaardingen , Olivier van Noortlaan 120";4,3422129;51,9006473
"Stadskanaal , Hoofdstraat 94";6,9592952;52,9830987
"Midsland , Terschelling , ET10 Kerk";5,2852778;53,3916667
"Soest , De Open Hof , Veenbesstraat 2";5,2848933;52,17139
"Bunschoten , Spakenburg , Westdijk 14";5,3764722;52,2572134
"Franeker ,  , J.Rodenhuispl 3";5,5391125;53,1913132
"Hollum , Ameland , Sporthal De Slinger";5,6386008;53,4448435
"Rhenen , Groeneweg 58";5,5666052;51,9619609
"Renswoude , De Hokhorst 1";5,5428015;52,0763014
"Arnhem , Mobiel inatieTeam";5,8987296;51,9851034
