PC4,OBJECTID,Aantal_adr,Aantal_mul,SHAPE_Leng,SHAPE_Area,GM_NAAM,A_VAC,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,P_KOOPWON,P_HUURWON,WON_HCORP,WON_NBEW,WOZWONING,UITKMINAOW,OAD,STED,ZORGINSTELLING,INW_ZORG,P_VAC,P_ZORG,P_65PL,P_4564,P_2544,P_1524,P_VROUW,P_UITKMINAOW,pred,diffLM,diffLM_inv,Id,pc4_z,pc4_bins
4834,1652,7104,1,0.146851833334118,0.000458633941651,Breda,3968,11905,5500,6405,1785,1210,2500,2945,3465,80,10,10,5775,2385,1700,455,1230,2,5820,505,1605,2010,590,240,305,350,210,2390,60,40,1395,165,314,595,2234,2,1,140,33.3305333893322,1.17597648047039,29.1054178916422,24.737505249895,20.9995800083998,10.1637967240655,53.8009239815204,4.99790004199916,31.7249143158962,-1.61,1.61,100,-0.598260890333866,4
4835,1653,3617,1,0.059783819800467,0.000153020653367,Breda,1654,6865,3310,3555,1310,800,1530,1970,1250,90,10,0,3035,1040,895,205,875,2.3,3015,1630,545,25,165,140,250,205,55,770,80,20,185,150,472,250,2539,1,1,335,24.0932265112892,4.87982520029133,18.2083029861617,28.6962855061908,22.2869628550619,11.6533139111435,51.7844136926439,3.64166059723234,25.1998956194601,1.11,-1.11,101,0.313558381306279,5
4836,1654,483,1,0.336763420053454,0.002091086448793,Breda,204,705,395,305,80,90,130,250,150,80,10,10,275,105,90,15,65,2.1,260,70,45,65,15,35,10,15,10,90,80,20,,40,651,140,76,5,0,0,28.936170212766,0,21.2765957446809,35.4609929078014,18.4397163120567,12.7659574468085,43.2624113475177,19.8581560283688,28.0912258762392,-0.84,0.84,102,-0.34013558181809,4
4837,1655,1310,1,0.103350734774348,0.000280565044691,Breda,750,2255,1015,1240,275,235,300,560,885,80,10,0,1070,520,295,40,205,1.9,1055,195,270,155,205,115,45,60,,550,60,40,105,55,546,55,1782,2,1,105,33.2594235033259,4.65631929046563,39.2461197339246,24.8337028824834,13.3037694013304,10.4212860310421,54.9889135254989,2.4390243902439,38.6619832270674,5.4,-5.4,103,1.75168510017989,7
4838,1656,619,2,0.248993403963873,0.001491672539436,Breda,331,1160,570,585,180,125,200,350,305,90,10,0,420,75,170,15,160,2.6,520,220,65,70,35,25,50,50,5,115,80,20,,80,458,55,94,5,1,50,28.5344827586207,4.31034482758621,26.2931034482759,30.1724137931035,17.2413793103448,10.7758620689655,50.4310344827586,4.74137931034483,31.2580802259007,2.72,-2.72,104,0.85327493547563,6
4839,1657,160,1,0.120577824847867,0.000500341332855,Breda,130,385,195,190,50,55,50,140,90,90,10,,150,30,55,,60,2.5,145,85,25,15,5,,5,5,,,100,0,,,550,10,251,5,0,0,33.7662337662338,0,23.3766233766234,36.3636363636364,12.987012987013,14.2857142857143,49.3506493506494,2.5974025974026,29.6137020048697,-4.15,4.15,105,-1.44973918076253,3
4841,1658,5594,1,0.255231161475068,0.002285635315006,Breda,3698,11915,5860,6055,1900,1430,2245,3615,2725,90,10,0,4880,1210,1675,330,1650,2.4,4980,265,500,1660,650,665,690,360,190,430,80,20,605,105,374,445,1112,3,1,100,31.0365086026018,0.839278220730172,22.8703315148972,30.3399076793957,18.8417960553924,12.0016785564415,50.8182962652119,3.73478808224927,28.5119675478939,-2.52,2.52,106,-0.903318073125238,3
4844,1659,3165,1,0.260065923758819,0.001930334108523,Drimmelen,1718,6260,3095,3165,900,660,1350,1890,1465,90,10,0,2550,660,945,185,755,2.3,2690,255,450,560,625,365,245,155,30,415,70,30,645,75,268,500,788,4,1,75,27.444089456869,1.19808306709265,23.4025559105431,30.1916932907348,21.5654952076677,10.5431309904153,50.5591054313099,7.98722044728434,29.0197462877894,1.58,-1.58,107,0.471115387802922,5
4845,1660,966,1,0.151857613069523,0.000686902427468,Drimmelen,606,2180,1100,1080,305,280,465,710,420,90,0,0,880,215,310,45,310,2.5,865,225,165,105,140,125,50,40,10,50,80,20,125,30,294,90,264,5,0,0,27.7981651376147,0,19.2660550458716,32.5688073394495,21.3302752293578,12.8440366972477,49.5412844036697,4.12844036697248,26.0052209921272,-1.79,1.79,108,-0.658601871545346,4
4847,1661,3700,1,0.186029390422208,0.001384639698152,Breda,2190,8245,4040,4205,1445,955,1660,2280,1900,90,10,10,3280,840,1090,185,1155,2.4,3315,200,230,880,355,310,510,515,310,500,80,20,560,95,384,400,880,4,1,100,26.561552456034,1.21285627653123,23.0442692540934,27.6531231049121,20.1334141904184,11.5827774408733,51.0006064281383,4.85142510612493,28.1888543868979,1.63,-1.63,109,0.487876771472778,5
